Indicator,Group,State,Subgroup,Phase,"Time Period","Time Period Label","Time Period Start Date","Time Period End Date",Value,LowCI,HighCI,"Confidence Interval","Quartile range","Quartile number","Suppression Flag"
"Ever had COVID","By Age","United States","80 years and above",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,26.1,22.1,30.4,"22.1 - 30.4",,,
"Ever had COVID","By Sex","United States",Male,3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,41.6,40.4,42.8,"40.4 - 42.8",,,
"Ever had COVID","By Sex","United States",Female,3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,44.9,43.8,46,"43.8 - 46.0",,,
"Ever had COVID","By Gender identity","United States","Cis-gender male",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,41.6,40.3,42.9,"40.3 - 42.9",,,
"Ever had COVID","By Gender identity","United States","Cis-gender female",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,44.9,43.8,46,"43.8 - 46.0",,,
"Ever had COVID","By Gender identity","United States",Transgender,3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,46.7,34.2,59.6,"34.2 - 59.6",,,
"Ever had COVID","By Sexual orientation","United States","Gay or lesbian",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,45.1,39.3,51.1,"39.3 - 51.1",,,
"Ever had COVID","By Sexual orientation","United States",Straight,3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,42.8,41.9,43.8,"41.9 - 43.8",,,
"Ever had COVID","By Sexual orientation","United States",Bisexual,3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,52.1,47.5,56.8,"47.5 - 56.8",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,52.2,49.8,54.6,"49.8 - 54.6",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,42.4,41.4,43.4,"41.4 - 43.4",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,36.4,34.4,38.4,"34.4 - 38.4",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,39.2,35.4,43,"35.4 - 43.0",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,44.6,41,48.3,"41.0 - 48.3",,,
"Ever had COVID","By Education","United States","Less than a high school diploma",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,42.8,38.5,47.3,"38.5 - 47.3",,,
"Ever had COVID","By Education","United States","High school diploma or GED",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,41.1,39.2,42.9,"39.2 - 42.9",,,
"Ever had COVID","By Education","United States","Some college/Associate's degree",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,45.7,44.5,46.9,"44.5 - 46.9",,,
"Ever had COVID","By Education","United States","Bachelor's degree or higher",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,43.3,42.5,44.2,"42.5 - 44.2",,,
"Ever had COVID","By Disability status","United States","With disability",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,42.3,40.3,44.2,"40.3 - 44.2",,,
"Ever had COVID","By Disability status","United States","Without disability",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,42.5,41.5,43.5,"41.5 - 43.5",,,
"Ever had COVID","By State","New York","New York",3.5,47,"Jun 29 - Jul 11, 2022",6/29/2022,7/11/2022,46.3,42.1,50.5,"42.1 - 50.5",45.2-49.5,4,
"Ever experienced long COVID, as a percentage of all adults","National Estimate","United States","United States",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,14.8,14.2,15.4,"14.2 - 15.4",,,
"Ever experienced long COVID, as a percentage of all adults","By Age","United States","18 - 29 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,15.9,14.2,17.7,"14.2 - 17.7",,,
"Ever experienced long COVID, as a percentage of all adults","By Age","United States","30 - 39 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,17.3,15.6,19,"15.6 - 19.0",,,
"Ever experienced long COVID, as a percentage of all adults","By Age","United States","40 - 49 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,18.8,17.3,20.4,"17.3 - 20.4",,,
"Ever experienced long COVID, as a percentage of all adults","By Age","United States","50 - 59 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,17.1,15.4,19,"15.4 - 19.0",,,
"Ever experienced long COVID, as a percentage of all adults","By Age","United States","60 - 69 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,10.9,9.5,12.4,"9.5 - 12.4",,,
"Ever experienced long COVID, as a percentage of all adults","By Age","United States","70 - 79 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,6.8,5.7,8.1,"5.7 - 8.1",,,
"Ever experienced long COVID, as a percentage of all adults","By Age","United States","80 years and above",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,6,3.7,9.2,"3.7 - 9.2",,,
"Ever experienced long COVID, as a percentage of all adults","By Sex","United States",Male,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,11.3,10.5,12.2,"10.5 - 12.2",,,
"Ever experienced long COVID, as a percentage of all adults","By Sex","United States",Female,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,18.2,17.2,19.2,"17.2 - 19.2",,,
"Ever experienced long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender male",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,11.1,10.2,12,"10.2 - 12.0",,,
"Ever experienced long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender female",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,18.2,17.2,19.2,"17.2 - 19.2",,,
"Ever experienced long COVID, as a percentage of all adults","By Gender identity","United States",Transgender,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,19.5,13.5,26.7,"13.5 - 26.7",,,
"Ever experienced long COVID, as a percentage of all adults","By Sexual orientation","United States","Gay or lesbian",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,17.8,14.7,21.2,"14.7 - 21.2",,,
"Ever experienced long COVID, as a percentage of all adults","By Sexual orientation","United States",Straight,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,14.2,13.6,14.9,"13.6 - 14.9",,,
"Ever experienced long COVID, as a percentage of all adults","By Sexual orientation","United States",Bisexual,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,18.6,15.9,21.6,"15.9 - 21.6",,,
"Ever experienced long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,19.9,17.8,22.1,"17.8 - 22.1",,,
"Ever experienced long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,13.9,13.2,14.6,"13.2 - 14.6",,,
"Ever experienced long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,12.6,10.8,14.5,"10.8 - 14.5",,,
"Ever experienced long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,9.5,7.7,11.6,"7.7 - 11.6",,,
"Ever experienced long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,20.7,17.3,24.4,"17.3 - 24.4",,,
"Ever experienced long COVID, as a percentage of all adults","By Education","United States","Less than a high school diploma",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,19.7,16.6,23.1,"16.6 - 23.1",,,
"Ever experienced long COVID, as a percentage of all adults","By Education","United States","High school diploma or GED",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,14.4,13.1,15.7,"13.1 - 15.7",,,
"Ever experienced long COVID, as a percentage of all adults","By Education","United States","Some college/Associate's degree",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,17.3,16.5,18.2,"16.5 - 18.2",,,
"Ever experienced long COVID, as a percentage of all adults","By Education","United States","Bachelor's degree or higher",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,11.7,10.9,12.4,"10.9 - 12.4",,,
"Ever experienced long COVID, as a percentage of all adults","By Disability status","United States","With disability",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,22.7,20.8,24.8,"20.8 - 24.8",,,
"Ever experienced long COVID, as a percentage of all adults","By Disability status","United States","Without disability",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,13.7,13,14.4,"13.0 - 14.4",,,
"Ever experienced long COVID, as a percentage of all adults","By State","New York","New York",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,15.4,12.1,19.1,"12.1 - 19.1",15.0-16.1,3,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","National Estimate","United States","United States",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,33.2,32.1,34.3,"32.1 - 34.3",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Age","United States","18 - 29 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,30.3,27.2,33.5,"27.2 - 33.5",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Age","United States","30 - 39 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,34,31.3,36.7,"31.3 - 36.7",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Age","United States","40 - 49 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,36.3,33.8,38.8,"33.8 - 38.8",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Age","United States","50 - 59 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,37.6,34.5,40.7,"34.5 - 40.7",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Age","United States","60 - 69 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,31.1,27.9,34.5,"27.9 - 34.5",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Age","United States","70 - 79 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,23.9,20,28.1,"20.0 - 28.1",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Age","United States","80 years and above",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,25,15.8,36.1,"15.8 - 36.1",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Sex","United States",Male,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,26.8,25,28.7,"25.0 - 28.7",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Sex","United States",Female,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,38.6,36.9,40.4,"36.9 - 40.4",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Gender identity","United States","Cis-gender male",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,26.2,24.4,28.1,"24.4 - 28.1",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Gender identity","United States","Cis-gender female",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,38.6,36.8,40.4,"36.8 - 40.4",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Gender identity","United States",Transgender,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,49.2,36.2,62.2,"36.2 - 62.2",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Sexual orientation","United States","Gay or lesbian",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,41.1,35,47.5,"35.0 - 47.5",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Sexual orientation","United States",Straight,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,31.9,30.6,33.2,"30.6 - 33.2",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Sexual orientation","United States",Bisexual,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,39.1,34.1,44.2,"34.1 - 44.2",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,38.5,34.8,42.3,"34.8 - 42.3",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,31.8,30.5,33.2,"30.5 - 33.2",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,33.5,29.3,37.9,"29.3 - 37.9",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,20.5,16.7,24.6,"16.7 - 24.6",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,42.5,36.3,48.8,"36.3 - 48.8",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Education","United States","Less than a high school diploma",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,45.1,39.5,50.9,"39.5 - 50.9",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Education","United States","High school diploma or GED",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,34.9,32.1,37.8,"32.1 - 37.8",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Education","United States","Some college/Associate's degree",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,37,35.3,38.8,"35.3 - 38.8",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Education","United States","Bachelor's degree or higher",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,25.2,23.7,26.7,"23.7 - 26.7",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Disability status","United States","With disability",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,53.6,50.3,56.9,"50.3 - 56.9",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Disability status","United States","Without disability",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,30.6,29.3,32,"29.3 - 32.0",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By State","New York","New York",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,30.6,24.7,37,"24.7 - 37.0",29.7-32.7,2,
"Currently experiencing long COVID, as a percentage of all adults","National Estimate","United States","United States",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,7.6,7.1,8.1,"7.1 - 8.1",,,
"Currently experiencing long COVID, as a percentage of all adults","By Age","United States","18 - 29 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,6.9,5.9,8,"5.9 - 8.0",,,
"Currently experiencing long COVID, as a percentage of all adults","By Age","United States","30 - 39 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,8.3,7.1,9.5,"7.1 - 9.5",,,
"Currently experiencing long COVID, as a percentage of all adults","By Age","United States","40 - 49 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,10.1,8.8,11.5,"8.8 - 11.5",,,
"Currently experiencing long COVID, as a percentage of all adults","By Age","United States","50 - 59 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,9,8.1,10,"8.1 - 10.0",,,
"Currently experiencing long COVID, as a percentage of all adults","By Age","United States","60 - 69 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,6.7,5.5,8,"5.5 - 8.0",,,
"Currently experiencing long COVID, as a percentage of all adults","By Age","United States","70 - 79 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,3.7,2.8,4.7,"2.8 - 4.7",,,
"Currently experiencing long COVID, as a percentage of all adults","By Age","United States","80 years and above",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,2.2,1.2,3.7,"1.2 - 3.7",,,
"Currently experiencing long COVID, as a percentage of all adults","By Sex","United States",Male,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,5.6,4.9,6.4,"4.9 - 6.4",,,
"Currently experiencing long COVID, as a percentage of all adults","By Sex","United States",Female,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,9.5,8.7,10.4,"8.7 - 10.4",,,
"Currently experiencing long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender male",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,5.3,4.6,6.1,"4.6 - 6.1",,,
"Currently experiencing long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender female",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,9.4,8.6,10.3,"8.6 - 10.3",,,
"Currently experiencing long COVID, as a percentage of all adults","By Gender identity","United States",Transgender,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,10.5,5.8,17.3,"5.8 - 17.3",,,
"Currently experiencing long COVID, as a percentage of all adults","By Sexual orientation","United States","Gay or lesbian",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,10.6,8,13.6,"8.0 - 13.6",,,
"Currently experiencing long COVID, as a percentage of all adults","By Sexual orientation","United States",Straight,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,7,6.5,7.4,"6.5 - 7.4",,,
"Currently experiencing long COVID, as a percentage of all adults","By Sexual orientation","United States",Bisexual,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,11,8.9,13.5,"8.9 - 13.5",,,
"Currently experiencing long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,9.2,7.8,10.7,"7.8 - 10.7",,,
"Currently experiencing long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,7.4,6.8,8,"6.8 - 8.0",,,
"Currently experiencing long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,5.4,4.5,6.5,"4.5 - 6.5",,,
"Currently experiencing long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,4.6,3.2,6.5,"3.2 - 6.5",,,
"Currently experiencing long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,13.5,10.6,16.7,"10.6 - 16.7",,,
"Currently experiencing long COVID, as a percentage of all adults","By Education","United States","Less than a high school diploma",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,11,9,13.3,"9.0 - 13.3",,,
"Currently experiencing long COVID, as a percentage of all adults","By Education","United States","High school diploma or GED",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,7,6.1,8,"6.1 - 8.0",,,
"Currently experiencing long COVID, as a percentage of all adults","By Education","United States","Some college/Associate's degree",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,9,8.3,9.9,"8.3 - 9.9",,,
"Currently experiencing long COVID, as a percentage of all adults","By Education","United States","Bachelor's degree or higher",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,5.9,5.5,6.4,"5.5 - 6.4",,,
"Currently experiencing long COVID, as a percentage of all adults","By Disability status","United States","With disability",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,14.8,13.2,16.5,"13.2 - 16.5",,,
"Currently experiencing long COVID, as a percentage of all adults","By Disability status","United States","Without disability",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,6.5,6,7,"6.0 - 7.0",,,
"Currently experiencing long COVID, as a percentage of all adults","By State","New York","New York",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,5.9,3.8,8.7,"3.8 - 8.7",4.3-6.1,1,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","National Estimate","United States","United States",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,17,16,18,"16.0 - 18.0",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Age","United States","18 - 29 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,13.1,11.3,15.2,"11.3 - 15.2",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Age","United States","30 - 39 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,16.3,14.2,18.6,"14.2 - 18.6",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Age","United States","40 - 49 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,19.5,17.2,21.9,"17.2 - 21.9",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Age","United States","50 - 59 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,19.8,17.8,21.9,"17.8 - 21.9",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Age","United States","60 - 69 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,18.9,15.8,22.3,"15.8 - 22.3",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Age","United States","70 - 79 years",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,12.9,9.9,16.4,"9.9 - 16.4",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Age","United States","80 years and above",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,9.2,5.1,15.2,"5.1 - 15.2",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Sex","United States",Male,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,13.2,11.5,15,"11.5 - 15.0",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Sex","United States",Female,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,20.3,18.6,21.9,"18.6 - 21.9",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Gender identity","United States","Cis-gender male",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,12.7,11,14.4,"11.0 - 14.4",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Gender identity","United States","Cis-gender female",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,20,18.3,21.7,"18.3 - 21.7",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Gender identity","United States",Transgender,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,27,15.8,40.9,"15.8 - 40.9",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Sexual orientation","United States","Gay or lesbian",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,24.5,19.2,30.4,"19.2 - 30.4",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Sexual orientation","United States",Straight,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,15.6,14.7,16.6,"14.7 - 16.6",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Sexual orientation","United States",Bisexual,3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,23.2,19.1,27.7,"19.1 - 27.7",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,17.7,14.9,20.8,"14.9 - 20.8",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,16.9,15.7,18.3,"15.7 - 18.3",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,14.4,12,17.1,"12.0 - 17.1",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,10,7,13.8,"7.0 - 13.8",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,27.6,22.3,33.5,"22.3 - 33.5",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Education","United States","Less than a high school diploma",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,25.3,20.8,30.2,"20.8 - 30.2",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Education","United States","High school diploma or GED",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,17,14.9,19.4,"14.9 - 19.4",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Education","United States","Some college/Associate's degree",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,19.3,17.7,20.9,"17.7 - 20.9",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Education","United States","Bachelor's degree or higher",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,12.8,11.8,13.8,"11.8 - 13.8",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Disability status","United States","With disability",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,34.9,31.9,38.1,"31.9 - 38.1",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Disability status","United States","Without disability",3.5,48,"Jul 27 - Aug 8, 2022",7/27/2022,8/8/2022,14.6,13.5,15.7,"13.5 - 15.7",,,
